SRR1562165,SAMN03014458
SRR1562276,SAMN03014459
SRR1562277,SAMN03014460
SRR1562278,SAMN03014461
SRR1564145,SAMN03014462
SRR1564146,SAMN03014463
SRR1564147,SAMN03014464
SRR1564148,SAMN03014465
SRR1564149,SAMN03014466
SRR1564150,SAMN03014467
SRR1564151,SAMN03014468
SRR1564152,SAMN03014469
SRR1564153,SAMN03014470
SRR1564154,SAMN03014471
SRR1564155,SAMN03014472
SRR1564156,SAMN03014473
SRR1564157,SAMN03014474
SRR1564158,SAMN03014475
SRR1564159,SAMN03014476
SRR1564160,SAMN03014477
SRR1564161,SAMN03014478
SRR1564162,SAMN03014479
SRR1564163,SAMN03014480
SRR1564164,SAMN03014481
SRR15647564,SAMN20967667
SRR15647565,SAMN20967646
SRR15647566,SAMN20967645
SRR15647567,SAMN20967644
SRR15647568,SAMN20967642
SRR15647569,SAMN20967643
SRR15665288,SAMN21014840
SRR15665289,SAMN21014840
SRR15665290,SAMN21014840
SRR15665291,SAMN21014840
SRR15665292,SAMN21014840
SRR15665293,SAMN21014840
SRR15712601,SAMN21216019
SRR15712602,SAMN21216018
SRR15712603,SAMN21216018
SRR15712604,SAMN21216018
SRR15712605,SAMN21216017
SRR15712606,SAMN21216017
SRR15712607,SAMN21216017
SRR15712608,SAMN21216008
SRR15712609,SAMN21216016
SRR15712610,SAMN21216016
SRR15712611,SAMN21216016
SRR15712612,SAMN21216015
SRR15712613,SAMN21216015
SRR15712614,SAMN21216015
SRR15712615,SAMN21216014
SRR15712616,SAMN21216014
SRR15712617,SAMN21216014
SRR15712618,SAMN21216013
SRR15712619,SAMN21216007
SRR15712620,SAMN21216013
SRR15712621,SAMN21216013
SRR15712622,SAMN21216012
SRR15712623,SAMN21216012
SRR15712624,SAMN21216012
SRR15712625,SAMN21216011
SRR15712626,SAMN21216011
SRR15712627,SAMN21216011
SRR15712628,SAMN21216010
SRR15712629,SAMN21216010
SRR15712630,SAMN21216009
SRR15712631,SAMN21216009
SRR15712632,SAMN21216009
SRR15712633,SAMN21216008
SRR15712634,SAMN21216022
SRR15712635,SAMN21216022
SRR15712636,SAMN21216022
SRR15712637,SAMN21216021
