SRR1145171,SAMN02597105
SRR11458713,SAMN14483489
SRR11458714,SAMN14483489
SRR11458715,SAMN14483489
SRR11458716,SAMN14483489
SRR11458717,SAMN14483489
SRR11458718,SAMN14483489
SRR11523763,SAMN14574496
SRR11523764,SAMN14574495
SRR11523765,SAMN14574494
SRR11523766,SAMN14574493
SRR11523767,SAMN14574492
SRR11523768,SAMN14574491
SRR11523769,SAMN14574490
SRR11523770,SAMN14574489
SRR11523771,SAMN14574502
SRR11523772,SAMN14574501
SRR11523773,SAMN14574500
SRR11523774,SAMN14574499
SRR11523775,SAMN14574498
SRR11523776,SAMN14574497
SRR11523777,SAMN14574488
SRR11523778,SAMN14574487
SRR11551815,SAMN14604352
SRR11551816,SAMN14604351
SRR11551817,SAMN14604360
SRR11551818,SAMN14604359
SRR11551819,SAMN14604358
SRR11551820,SAMN14604357
SRR11551821,SAMN14604356
SRR11551822,SAMN14604355
SRR11551823,SAMN14604354
SRR11551824,SAMN14604353
SRR11551825,SAMN14604362
SRR11551826,SAMN14604361
SRR11565416,SAMN14614952
SRR11565417,SAMN14614951
SRR11565418,SAMN14614950
SRR11565419,SAMN14614949
SRR11565420,SAMN14614948
SRR11565421,SAMN14614947
SRR11565422,SAMN14614946
SRR11565423,SAMN14614945
SRR11565424,SAMN14614957
SRR11565425,SAMN14614956
SRR11565426,SAMN14614955
SRR11565427,SAMN14614954
SRR11565428,SAMN14614953
SRR11565429,SAMN14614944
SRR11565430,SAMN14614943
SRR11622357,SAMN14642773
SRR11622358,SAMN14642772
SRR11622359,SAMN14642771
SRR11622654,SAMN14642779
SRR11622655,SAMN14642778
SRR11622656,SAMN14642777
SRR11622657,SAMN14642776
SRR11622658,SAMN14642775
SRR11622659,SAMN14642774
SRR11637589,SAMN14752214
SRR11637590,SAMN14752213
SRR11637591,SAMN14752212
SRR11637592,SAMN14752211
SRR11637593,SAMN14752210
SRR11637594,SAMN14752209
SRR11637595,SAMN14752208
SRR11637596,SAMN14752207
SRR11637597,SAMN14752216
SRR11637598,SAMN14752215
SRR11637599,SAMN14752206
SRR11637600,SAMN14752205
SRR11637816,SAMN14752290
SRR11637817,SAMN14752289
SRR11637818,SAMN14752288
SRR11637819,SAMN14752287
SRR11637820,SAMN14752286
SRR11637821,SAMN14752285
SRR11637822,SAMN14752284
SRR11637823,SAMN14752283
SRR11637824,SAMN14752292
SRR11637825,SAMN14752291
SRR11637826,SAMN14752282
SRR11637827,SAMN14752281
SRR11658660,SAMN14785099
SRR11658661,SAMN14785099
SRR11659660,SAMN14786294
SRR11659661,SAMN14786293
SRR11659662,SAMN14786292
SRR11659663,SAMN14786291
SRR11659664,SAMN14786290
SRR11659665,SAMN14786289
SRR1168173,SAMN02640341
SRR1168174,SAMN02640346
SRR1168175,SAMN02640339
SRR1168176,SAMN02640343
SRR1168177,SAMN02640347
SRR1168178,SAMN02640338
SRR1168179,SAMN02640344
SRR1168180,SAMN02640349
SRR1168181,SAMN02640340
SRR1168182,SAMN02640345
SRR1168183,SAMN02640348
SRR1168184,SAMN02640342
SRR11741785,SAMN14858291
SRR11741786,SAMN14858290
SRR11741787,SAMN14858289
SRR11741788,SAMN14858288
SRR11741789,SAMN14858287
SRR11741790,SAMN14858286
SRR11741791,SAMN14858285
SRR11741792,SAMN14858284
SRR11741793,SAMN14858283
SRR11741794,SAMN14858282
SRR11741795,SAMN14858281
SRR11741796,SAMN14858280
SRR11741797,SAMN14858279
SRR11741798,SAMN14858278
SRR11741799,SAMN14858277
SRR11741800,SAMN14858276
SRR11805338,SAMN14918706
SRR11805339,SAMN14918705
SRR11805340,SAMN14918704
SRR11805341,SAMN14918703
SRR11805342,SAMN14918702
SRR11805343,SAMN14918701
SRR11817628,SAMN14981344
SRR11817629,SAMN14981344
SRR11817630,SAMN14981344
SRR11859276,SAMN15041187
SRR11859277,SAMN15041186
SRR11859278,SAMN15041185
SRR11859279,SAMN15041184
SRR11859280,SAMN15041183
SRR11859281,SAMN15041182
SRR11859282,SAMN15041209
SRR11859283,SAMN15041208
SRR11859284,SAMN15041181
SRR11859285,SAMN15041207
SRR11859286,SAMN15041206
SRR11859287,SAMN15041205
SRR11859288,SAMN15041204
SRR11859289,SAMN15041203
SRR11859290,SAMN15041202
SRR11859291,SAMN15041201
SRR11859292,SAMN15041200
SRR11859293,SAMN15041199
SRR11859294,SAMN15041198
SRR11859295,SAMN15041180
SRR11859296,SAMN15041197
SRR11859297,SAMN15041196
SRR11859298,SAMN15041195
SRR11859299,SAMN15041194
SRR11859300,SAMN15041193
SRR11859301,SAMN15041192
SRR11859302,SAMN15041191
SRR11859303,SAMN15041190
SRR11859304,SAMN15041189
SRR11859305,SAMN15041188
SRR11859306,SAMN15041179
SRR11859307,SAMN15041178
SRR11860563,SAMN15041642
SRR11860564,SAMN15041641
SRR11860565,SAMN15041640
SRR11860566,SAMN15041639
SRR11860567,SAMN15041638
SRR11860568,SAMN15041637
SRR11860804,SAMN15041794
SRR11860805,SAMN15041793
SRR11860806,SAMN15041792
SRR11860807,SAMN15041791
SRR11860808,SAMN15041790
SRR11860809,SAMN15041789
SRR1190175,SAMN02688407
SRR1190176,SAMN02688408
SRR1190177,SAMN02688409
SRR1190178,SAMN02688410
SRR1190179,SAMN02688411
SRR1190180,SAMN02688412
SRR1190181,SAMN02688413
SRR1190183,SAMN02688414
SRR1190184,SAMN02688415
SRR1190221,SAMN02688416
SRR1190227,SAMN02688417
SRR11931229,SAMN15097864
SRR11931230,SAMN15097865
SRR11931231,SAMN15097866
SRR11931232,SAMN15097870
SRR11931233,SAMN15097871
SRR11931234,SAMN15097873
SRR11931235,SAMN15097874
SRR11931236,SAMN15097875
SRR11931237,SAMN15097860
SRR11931238,SAMN15097863
SRR11931239,SAMN15097876
SRR11931240,SAMN15097877
SRR1206481,SAMN02709653
SRR1206482,SAMN02709646
SRR1206483,SAMN02709651
SRR1206484,SAMN02709648
SRR1206485,SAMN02709649
SRR1206486,SAMN02709647
SRR1206487,SAMN02709652
SRR1206488,SAMN02709654
SRR1206489,SAMN02709650
SRR12074567,SAMN15350938
SRR12074568,SAMN15350937
SRR12074569,SAMN15350936
SRR12074570,SAMN15350935
SRR12074571,SAMN15350934
SRR12074572,SAMN15350933
SRR12074573,SAMN15350932
SRR12074574,SAMN15350931
SRR12074575,SAMN15350940
SRR12074576,SAMN15350939
SRR12074577,SAMN15350930
SRR12074578,SAMN15350929
SRR12164947,SAMN15464742
SRR12164948,SAMN15464741
SRR12164949,SAMN15464740
SRR12164950,SAMN15464739
SRR12164951,SAMN15464738
SRR12164952,SAMN15464737
SRR12164953,SAMN15464736
SRR12164954,SAMN15464735
SRR12164955,SAMN15464734
SRR12164956,SAMN15464733
SRR12164957,SAMN15464732
